year,province,male,female
2015,Ankara,39576,37792
2015,Antalya,18445,17462
2015,Ardahan,756,784
2015,Artvin,990,997
2015,Aydın,7064,6756
2015,Ağrı,8260,7727
2015,Balıkesir,6625,6289
2015,Bartın,1098,1031
2015,Batman,7490,7039
2015,Bayburt,655,580
2015,Bilecik,1359,1297
2015,Bingöl,2829,2657
2015,Bitlis,4723,4315
2015,Bolu,1772,1661
2015,Burdur,1602,1462
2015,Bursa,22159,21108
2015,Denizli,7059,6857
2015,Diyarbakır,22379,21203
2015,Düzce,2652,2467
2015,Edirne,2154,2099
2015,Elazığ,4610,4386
2015,Erzincan,1566,1526
2015,Erzurum,7878,7387
2015,Eskişehir,5131,4873
2015,Gaziantep,24819,23996
2015,Giresun,2385,2238
2015,Gümüşhane,939,949
2015,Hakkari,3098,2889
2015,Hatay,16056,15356
2015,Isparta,2704,2528
2015,Iğdır,2341,2191
2015,Kahramanmaraş,11275,10701
2015,Karabük,1288,1218
2015,Karaman,2001,1853
2015,Kars,3113,2956
2015,Kastamonu,2032,1995
2015,Kayseri,11796,11269
2015,Kilis,1566,1439
2015,Kocaeli,15954,14947
2015,Konya,18744,17728
2015,Kütahya,3573,3346
2015,Kırklareli,1935,1780
2015,Kırıkkale,1727,1613
2015,Kırşehir,1496,1434
2015,Malatya,6163,5843
2015,Manisa,10031,9404
2015,Mardin,11094,10583
2015,Mersin,14682,13833
2015,Muğla,5880,5533
2015,Muş,5800,5459
2015,Nevşehir,2131,2048
2015,Niğde,2940,2738
2015,Ordu,4640,4347
2015,Osmaniye,4756,4545
2015,Rize,2142,2064
2015,Sakarya,7344,6898
2015,Samsun,8915,8312
2015,Siirt,4376,4196
2015,Sinop,1159,1103
2015,Sivas,4764,4461
2015,Tekirdağ,7249,6890
2015,Tokat,3742,3558
2015,Trabzon,5282,5171
2015,Tunceli,561,517
2015,Uşak,2370,2184
2015,Van,15351,14481
2015,Yalova,1542,1471
2015,Yozgat,3235,3055
2015,Zonguldak,3396,3357
2015,Çanakkale,2806,2564
2015,Çankırı,1115,1055
2015,Çorum,3438,3224
2015,İstanbul,124641,118247
2015,İzmir,28600,27346
2015,Şanlıurfa,32017,30728
2015,Şırnak,7503,7288
2016,Adana,19470,18703
2016,Adıyaman,6640,6318
2016,Afyonkarahisar,5536,5240
2016,Aksaray,3492,3263
2016,Amasya,1944,1792
2016,Ankara,39276,37112
2016,Antalya,18330,17250
2016,Ardahan,685,722
2016,Artvin,1031,966
2016,Aydın,7084,6618
2016,Ağrı,7941,7649
2016,Balıkesir,6591,6339
2016,Bartın,1121,944
2016,Batman,7203,7030
2016,Bayburt,620,591
2016,Bilecik,1374,1326
2016,Bingöl,2864,2651
2016,Bitlis,4558,4240
2016,Bolu,1806,1686
2016,Burdur,1481,1474
2016,Bursa,22064,21099
2016,Denizli,6999,6561
2016,Diyarbakır,22121,20821
2016,Düzce,2782,2535
2016,Edirne,2123,1953
2016,Elazığ,4548,4291
2016,Erzincan,1651,1566
2016,Erzurum,7667,7236
2016,Eskişehir,5115,4830
2016,Gaziantep,24210,23277
2016,Giresun,2323,2133
2016,Gümüşhane,1038,921
2016,Hakkari,2874,2768
2016,Hatay,15971,14810
2016,Isparta,2685,2506
2016,Iğdır,2268,2160
2016,Kahramanmaraş,11234,10426
2016,Karabük,1191,1174
2016,Karaman,1959,1880
2016,Kars,3017,2836
2016,Kastamonu,2116,1828
2016,Kayseri,11524,10988
2016,Kilis,1484,1399
2016,Kocaeli,15913,15275
2016,Konya,18569,17660
2016,Kütahya,3350,3229
2016,Kırklareli,1856,1730
2016,Kırıkkale,1708,1591
2016,Kırşehir,1511,1403
2016,Malatya,6074,5678
2016,Manisa,9799,9426
2016,Mardin,10561,10056
2016,Mersin,14461,13697
2016,Muğla,5768,5534
2016,Muş,5484,5468
2016,Nevşehir,2141,2003
2016,Niğde,2933,2811
2016,Ordu,4636,4451
2016,Osmaniye,4729,4334
2016,Rize,2180,1995
2016,Sakarya,7358,7146
2016,Samsun,8648,8353
2016,Siirt,4405,4001
2016,Sinop,1138,1094
2016,Sivas,4744,4329
2016,Tekirdağ,7412,7051
2016,Tokat,3696,3426
2016,Trabzon,5313,5105
2016,Tunceli,497,479
2016,Uşak,2193,2216
2016,Van,14790,14034
2016,Yalova,1673,1603
2016,Yozgat,3034,2906
2016,Zonguldak,3248,3131
2016,Çanakkale,2793,2647
2016,Çankırı,1178,1056
2016,Çorum,3425,3219
2016,İstanbul,122967,117060
2016,İzmir,28065,26558
2016,Şanlıurfa,32766,30724
2016,Şırnak,6527,6259
2017,Adana,19090,18275
2017,Adıyaman,6809,6247
2017,Afyonkarahisar,5334,5183
2017,Aksaray,3436,3350
2017,Amasya,1987,1817
2017,Ankara,38814,37088
2017,Antalya,17346,16414
2017,Ardahan,750,665
2017,Artvin,966,951
2017,Aydın,7242,6862
2017,Ağrı,7719,7433
2017,Balıkesir,6686,6212
2017,Bartın,974,953
2017,Batman,7368,7085
2017,Bayburt,538,607
2017,Bilecik,1339,1312
2017,Bingöl,2807,2679
2017,Bitlis,4499,4253
2017,Bolu,1763,1675
2017,Burdur,1464,1343
2017,Bursa,22156,20651
2017,Denizli,6977,6504
2017,Diyarbakır,22464,21098
2017,Düzce,2660,2613
2017,Edirne,2030,1950
2017,Elazığ,4539,4237
2017,Erzincan,1578,1417
2017,Erzurum,7414,7240
2017,Eskişehir,5236,4858
2017,Gaziantep,23681,22635
2017,Giresun,2279,2198
2017,Gümüşhane,887,921
2017,Hakkari,2883,2764
2017,Hatay,15272,14545
2017,Isparta,2809,2543
2017,Iğdır,2158,2062
2017,Kahramanmaraş,10887,10362
2017,Karabük,1323,1163
2017,Karaman,1887,1898
2017,Kars,2933,2748
2017,Kastamonu,1935,1778
2017,Kayseri,10940,10579
2017,Kilis,1499,1400
2017,Kocaeli,16167,15153
2017,Konya,18279,17113
2017,Kütahya,3258,3197
2017,Kırklareli,1881,1830
2017,Kırıkkale,1727,1601
2017,Kırşehir,1445,1460
2017,Malatya,6073,5696
2017,Manisa,9628,9168
2017,Mardin,10736,10209
2017,Mersin,14034,13431
2017,Muğla,5757,5365
2017,Muş,5717,5373
2017,Nevşehir,2045,2017
2017,Niğde,2801,2669
2017,Ordu,4601,4393
2017,Osmaniye,4643,4357
2017,Rize,2100,1961
2017,Sakarya,7468,7150
2017,Samsun,8670,8224
2017,Siirt,4209,4091
2017,Sinop,1181,1070
2017,Sivas,4672,4282
2017,Tekirdağ,7600,7229
2017,Tokat,3524,3439
2017,Trabzon,5267,5032
2017,Tunceli,487,444
2017,Uşak,2375,2123
2017,Van,14756,13926
2017,Yalova,1691,1570
2017,Yozgat,3028,2881
2017,Zonguldak,3161,3034
2017,Çanakkale,2820,2695
2017,Çankırı,1070,1116
2017,Çorum,3317,3043
2017,İstanbul,119857,113363
2017,İzmir,27809,26086
2017,Şanlıurfa,33234,31513
2017,Şırnak,7104,6836
2020,Adana,15818,15074
2020,Adıyaman,5683,5373
2020,Afyonkarahisar,4788,4492
2020,Aksaray,3161,2998
2020,Amasya,1648,1561
2020,Ankara,32791,30990
2020,Antalya,15097,14424
2020,Ardahan,624,565
2020,Artvin,933,823
2020,Aydın,6129,5758
2020,Ağrı,6309,6063
2020,Balıkesir,5920,5524
2020,Bartın,927,885
2020,Batman,6673,6279
2020,Bayburt,496,522
2020,Bilecik,1241,1100
2020,Bingöl,2556,2425
