sex,,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female
age_group,,0-4,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,5-9,60-64,65-69,70-74,75-79,80-84,85-89,90+,0-4,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,5-9,60-64,65-69,70-74,75-79,80-84,85-89,90+
year,province,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,Trabzon,26074,32504,33224,33933,31518,27643,25719,25502,23053,20169,15343,30370,10619,9890,8917,6524,2384,451,266,24989,31370,32197,33571,30256,27309,25462,26730,22654,21239,15488,29088,13200,12488,9668,10820,6687,2109,1141
2007,Tunceli,2343,2699,3186,12221,5604,3986,3097,2305,1880,1702,1242,2529,998,903,1419,1037,557,143,42,2127,2680,2861,3099,3611,2930,2518,2286,1944,1899,1538,2455,1281,1092,1209,1242,818,345,194
2007,Uşak,11645,13930,13468,13095,14294,13292,12680,11810,11034,9563,7555,13111,5376,5068,4378,2892,1485,454,105,10799,12885,12866,14539,14152,13282,12309,12003,11087,9753,7751,12412,6364,6053,5321,4236,2140,677,251
2007,Van,68294,68751,57426,45655,43600,32610,25610,23882,16217,12640,9132,76275,6611,5281,3868,2328,1343,400,145,64819,64464,53612,43062,42967,30175,22281,21343,15799,14275,10457,72266,7407,5842,4094,3547,2036,808,349
2007,Yalova,5732,7641,7601,6606,7480,7104,7015,6550,6580,5654,4409,7071,3204,2758,2265,1562,755,194,65,5560,7288,7180,6570,7786,7374,7167,6814,6340,5625,4435,6636,3543,3028,2500,2011,1134,373,148
2007,Yozgat,20298,25275,25272,20371,20064,17595,15914,15645,12905,12005,9870,23895,7678,6201,5095,4269,1801,369,152,19189,24788,24245,20571,19614,17573,15630,15808,12686,11985,10817,22995,9051,7376,5881,5311,2649,857,427
2007,Zonguldak,20723,23745,25545,26843,27178,24717,21930,20953,21879,19999,15320,23396,9613,7528,6464,4621,1845,420,108,19682,23289,25253,26717,27143,25023,23239,23522,22732,20106,14865,22131,10674,9354,7831,6819,3393,903,387
2007,Çanakkale,12601,15973,16353,28776,20797,17730,17383,17886,17308,15951,13874,14452,10116,8545,7201,5381,3146,877,263,11896,14885,15821,17908,17820,16957,17197,17321,16955,15529,13232,13453,10810,9763,8451,7064,4531,1380,542
2007,Çankırı,6038,7043,7609,7661,6903,5860,5763,5535,4852,4814,3905,6760,3598,3603,3090,2044,1221,286,107,5782,6776,6989,6364,6431,6073,5670,5701,4911,4986,4515,6422,4102,4249,3409,2733,1506,494,207
2007,Çorum,20091,25005,24970,20469,22233,19544,18302,17975,15527,14583,12629,23559,10476,9301,7916,5974,2527,659,202,19060,23941,24305,21275,21775,19973,18189,17706,16101,15467,14128,22369,11797,10533,8410,7216,3873,1230,538
2007,İstanbul,497651,533365,529061,521083,680205,614363,524222,458489,385347,318979,235185,537301,156917,109886,82398,56734,31149,10756,8672,469715,501693,487704,568511,671363,591694,498862,444186,371661,318927,240314,505608,171001,135240,107208,92508,61162,24269,20447
2007,İzmir,119661,142688,148470,171576,177538,160975,145248,138291,131163,115680,91907,132613,66577,48895,37434,25313,13498,3846,1206,112912,134289,140435,153898,172552,160102,146362,138990,129416,115308,92767,125150,69376,55102,46939,37928,24026,7803,3419
2007,Şanlıurfa,111244,103779,87145,56457,61188,50675,39059,36107,24743,19869,15113,117695,10915,8934,6298,4465,1935,630,404,104488,97669,83742,70761,66249,50797,37560,34722,26860,19819,16946,111790,12810,10595,8308,6709,4005,1619,995
2007,Şırnak,32713,29452,22420,29298,20075,12030,9237,7666,4992,4279,2900,34223,2237,2156,1579,981,496,199,135,30844,27260,21318,16577,18737,12221,8664,6962,4426,4415,3679,32637,2647,2150,1971,1980,1361,614,470
2008,Adana,92289,100548,96441,81003,91598,81263,74146,67508,61116,52264,40819,96298,27045,18642,12538,9877,4187,1125,294,87384,95458,92722,88914,90825,82012,75789,67294,61570,51544,40703,91695,29725,22112,15816,12941,7415,2396,1003
2008,Adıyaman,31546,34737,32895,26561,25825,21059,18444,15625,12598,10120,8525,32815,6189,5109,3882,3863,1436,328,103,29837,33119,31770,28671,26311,21574,18454,14019,12525,10409,9805,30933,8078,6093,4497,3506,2443,924,439
2008,Afyonkarahisar,28732,31365,30149,29626,29889,25055,24279,22482,21839,18366,15263,30296,11213,9317,7707,6957,2607,607,150,27336,29975,28858,31042,28553,25647,24634,22305,22300,18761,15873,28871,12847,11364,9366,8320,4076,993,345
2008,Aksaray,17447,19029,17610,16300,16848,14697,13115,11360,9184,7816,6900,18280,5129,3756,2882,2230,996,284,90,16364,18232,16692,16228,16087,14721,13656,11525,9994,8293,7524,17629,6316,4750,3746,2607,1513,544,224
2008,Amasya,11010,13700,13595,14245,12864,11236,10973,10953,10474,9368,8014,12292,6850,5213,4658,4132,1392,317,94,10119,13102,13112,12205,12340,11402,11436,10940,10906,9384,8396,11884,7706,6409,5354,4447,2313,624,216
2008,Ankara,170385,183662,180693,217103,215498,198024,183815,169875,155106,128826,96573,177231,66889,47847,31947,27066,12676,3615,948,160773,173897,173883,202811,216463,200108,189437,172592,155747,128439,98473,168098,74012,56771,42117,35884,21680,7354,2621
2008,Antalya,75311,80031,75393,67112,89279,87256,83433,73263,63914,51185,38398,77269,27125,21002,13919,11787,4948,1238,399,71492,75447,70561,72136,85985,83450,79837,68192,60687,49320,37341,73004,27826,21953,15280,13761,7623,2154,964
2008,Ardahan,4488,5821,5425,7640,5112,4277,3745,3082,2654,2565,2056,5168,1989,1582,1193,1169,470,219,18,4330,5553,5072,4206,4339,3674,3437,2885,2687,2522,2318,4866,2283,2056,1206,1283,563,229,60
2008,Artvin,5138,6623,6883,6894,6555,6026,6277,6013,5560,4959,3941,5952,3150,2954,2357,2674,1085,367,78,4886,6439,6615,6013,6140,5704,6147,5679,5118,5169,4189,5600,3918,3713,2483,3007,1523,537,218
2008,Aydın,32756,39046,39761,36453,40294,36531,35575,34989,35103,31668,24752,34966,19017,14546,11999,9299,4346,1052,281,30871,37373,38006,37208,37840,35862,35123,33806,34477,31174,24671,33198,20444,16167,14286,12500,7239,2030,791
2008,Ağrı,34605,37249,31579,29158,24656,17023,15029,11448,9593,7556,5156,41327,4277,2991,2155,1705,636,327,38,32399,34406,29118,22484,22407,15141,12961,9732,8668,7808,6343,39601,4866,3877,2390,1983,938,450,100
2008,Balıkesir,32985,43044,43012,45077,43295,41377,42111,42053,41534,38288,31603,37516,25293,20478,15900,12364,6272,1668,305,31413,40642,41145,39958,41287,41785,42832,42697,42325,37918,31890,35370,26576,22909,18604,15678,9349,2845,878
2008,Bartın,5903,6989,7281,6335,7785,6924,6431,5930,6026,5961,5421,6599,3884,3010,2278,2343,1052,218,49,5567,6974,7347,7210,7534,7003,6897,6492,6580,6351,5285,6430,4146,3469,2704,2914,1518,387,141
2008,Batman,33116,34071,29231,21533,20406,16692,14038,10850,7895,5959,4403,36325,3063,2759,2007,1667,697,203,66,31002,32644,27777,20407,21730,16318,12973,9861,7328,6050,5526,34838,4377,3579,2268,2035,1230,475,217
2008,Bayburt,3206,3886,3857,4588,3238,2781,2544,2266,1910,1650,1265,3500,1036,947,697,904,370,84,14,3096,3742,3462,3249,2796,2528,2623,2167,1877,1715,1337,3252,1244,1259,831,955,617,127,55
2008,Bilecik,6673,7351,7522,8728,8852,7729,7582,7099,6798,5869,4350,7047,3053,2944,2428,2141,1126,279,60,6266,6939,7027,7586,8079,7362,7301,6862,6565,5441,4321,6618,3637,3628,3034,2766,1583,384,139
2008,Bingöl,13344,14281,13951,17124,12841,9840,8331,6652,5060,4127,3080,13835,2385,2067,1692,1427,674,235,33,12892,13915,13822,12256,12393,9634,8034,6230,4893,4435,3581,13114,2958,2391,1659,1530,874,395,106
2008,Bitlis,21807,22182,18963,17415,14519,10845,9739,7634,6144,4654,3370,23513,2411,2073,1389,1169,437,194,37,20345,20826,17817,14545,13859,9916,8489,6281,5214,4849,4019,22307,3144,2447,1479,1405,920,397,143
2008,Bolu,8835,9938,10082,13352,11498,10511,9886,8927,8568,7942,6666,9256,5162,4456,3420,3303,1700,432,122,8296,9581,9489,11349,11144,10241,9996,9099,8930,8117,7031,8845,5829,5394,4000,4156,2464,648,217
2008,Burdur,7890,9369,9007,9490,9214,9007,8890,8895,8806,7959,6407,8744,4971,3970,3891,3308,1603,423,136,7548,9080,8771,9190,8750,8662,8969,8718,9024,8382,6741,8283,6027,4991,4588,4298,2476,655,304
