uni_name,type,city,region,year,foundation_year
PAMUKKALE ÜNİVERSİTESİ,state,Denizli,Aegean,2001,1992
SABANCI ÜNİVERSİTESİ,foundation,İstanbul,Marmara,2001,1996
SAKARYA ÜNİVERSİTESİ,state,Sakarya,Marmara,2001,1992
SELÇUK ÜNİVERSİTESİ,state,Konya,Central Anatolia,2001,1975
SÜLEYMAN DEMİREL ÜNİVERSİTESİ,state,Isparta,Mediterranean,2001,1992
TRAKYA ÜNİVERSİTESİ,state,Edirne,Marmara,2001,1982
UFUK ÜNİVERSİTESİ,foundation,Ankara,Central Anatolia,2001,1999
ULUDAĞ ÜNİVERSİTESİ,state,Bursa,Marmara,2001,1975
YAŞAR ÜNİVERSİTESİ,foundation,İzmir,Aegean,2001,2001
YEDİTEPE ÜNİVERSİTESİ,foundation,İstanbul,Marmara,2001,1996
YILDIZ TEKNİK ÜNİVERSİTESİ,state,İstanbul,Marmara,2001,1982
YÜZÜNCÜ YIL ÜNİVERSİTESİ,state,Van,East Anatolia,2001,1982
ABANT İZZET BAYSAL ÜNİVERSİTESİ,state,Bolu,Black Sea,2000,1992
ADNAN MENDERES ÜNİVERSİTESİ,state,Aydın,Aegean,2000,1992
AFYON KOCATEPE ÜNİVERSİTESİ,state,Afyonkarahisar,Aegean,2000,1992
AKDENİZ ÜNİVERSİTESİ,state,Antalya,Mediterranean,2000,1982
ANADOLU ÜNİVERSİTESİ,state,Eskişehir,Central Anatolia,2000,1973
ANKARA ÜNİVERSİTESİ,state,Ankara,Central Anatolia,2000,1946
ATATÜRK ÜNİVERSİTESİ,state,Erzurum,East Anatolia,2000,1957
ATILIM ÜNİVERSİTESİ,foundation,Ankara,Central Anatolia,2000,1997
BAHÇEŞEHİR ÜNİVERSİTESİ,foundation,İstanbul,Marmara,2000,1998
BALIKESİR ÜNİVERSİTESİ,state,Balıkesir,Marmara,2000,1992
BAŞKENT ÜNİVERSİTESİ,foundation,Ankara,Central Anatolia,2000,1994
BEYKENT ÜNİVERSİTESİ,foundation,İstanbul,Marmara,2000,1997
BİLKENT ÜNİVERSİTESİ,foundation,Ankara,Central Anatolia,2000,1985
BOĞAZİÇİ ÜNİVERSİTESİ,state,İstanbul,Marmara,2000,1971
BÜLENT ECEVİT ÜNİVERSİTESİ,state,Zonguldak,Black Sea,2000,1992
CELÂL BAYAR ÜNİVERSİTESİ,state,Manisa,Aegean,2000,1992
CUMHURİYET ÜNİVERSİTESİ,state,Sivas,Central Anatolia,2000,1974
ÇAĞ ÜNİVERSİTESİ,foundation,Mersin,Mediterranean,2000,1997
ÇANAKKALE ONSEKİZ MART ÜNİVERSİTESİ,state,Çanakkale,Marmara,2000,1992
ÇANKAYA ÜNİVERSİTESİ,foundation,Ankara,Central Anatolia,2000,1997
ÇUKUROVA ÜNİVERSİTESİ,state,Adana,Mediterranean,2000,1973
DİCLE ÜNİVERSİTESİ,state,Diyarbakır,Southeastern Anatolia,2000,1973
DOĞUŞ ÜNİVERSİTESİ,foundation,İstanbul,Marmara,2000,1997
DOKUZ EYLÜL ÜNİVERSİTESİ,state,İzmir,Aegean,2000,1982
DUMLUPINAR ÜNİVERSİTESİ,state,Kütahya,Aegean,2000,1992
EGE ÜNİVERSİTESİ,state,İzmir,Aegean,2000,1955
ERCİYES ÜNİVERSİTESİ,state,Kayseri,Central Anatolia,2000,1982
FATİH ÜNİVERSİTESİ,foundation,İstanbul,Marmara,2000,1996
FIRAT ÜNİVERSİTESİ,state,Elazığ,East Anatolia,2000,1975
GALATASARAY ÜNİVERSİTESİ,state,İstanbul,Marmara,2000,1994
GAZİ ÜNİVERSİTESİ,state,Ankara,Central Anatolia,2000,1982
GAZİANTEP ÜNİVERSİTESİ,state,Gaziantep,Southeastern Anatolia,2000,1987
GAZİOSMANPAŞA ÜNİVERSİTESİ,state,Tokat,Black Sea,2000,1992
GEBZE YÜKSEK TEKNOLOJİ ENSTİTÜSÜ,state,Kocaeli,Marmara,2000,1992
HACETTEPE ÜNİVERSİTESİ,state,Ankara,Central Anatolia,2000,1967
HALİÇ ÜNİVERSİTESİ,foundation,İstanbul,Marmara,2000,1998
HARRAN ÜNİVERSİTESİ,state,Şanlıurfa,Southeastern Anatolia,2000,1992
IŞIK ÜNİVERSİTESİ,foundation,İstanbul,Marmara,2000,1996
İNÖNÜ ÜNİVERSİTESİ,state,Malatya,East Anatolia,2000,1975
İSTANBUL BİLGİ ÜNİVERSİTESİ,foundation,İstanbul,Marmara,2000,1996
İSTANBUL KÜLTÜR ÜNİVERSİTESİ,foundation,İstanbul,Marmara,2000,1997
İSTANBUL TEKNİK ÜNİVERSİTESİ,state,İstanbul,Marmara,2000,1944
İSTANBUL ÜNİVERSİTESİ,state,İstanbul,Marmara,2000,1933
İZMİR YÜKSEK TEKNOLOJİ ENSTİTÜSÜ,state,İzmir,Aegean,2000,1992
KADİR HAS ÜNİVERSİTESİ,foundation,İstanbul,Marmara,2000,1997
KAFKAS ÜNİVERSİTESİ,state,Kars,East Anatolia,2000,1992
KAHRAMANMARAŞ SÜTÇÜ İMAM ÜNİVERSİTESİ,state,Kahramanmaraş,Mediterranean,2000,1992
KARADENİZ TEKNİK ÜNİVERSİTESİ,state,Trabzon,Black Sea,2000,1955
KIRIKKALE ÜNİVERSİTESİ,state,Kırıkkale,Central Anatolia,2000,1992
KOCAELİ ÜNİVERSİTESİ,state,Kocaeli,Marmara,2000,1992
KOÇ ÜNİVERSİTESİ,foundation,İstanbul,Marmara,2000,1992
MALTEPE ÜNİVERSİTESİ,foundation,İstanbul,Marmara,2000,1997
MARMARA ÜNİVERSİTESİ,state,İstanbul,Marmara,2000,1982
MERSİN ÜNİVERSİTESİ,state,Mersin,Mediterranean,2000,1992
MUSTAFA KEMAL ÜNİVERSİTESİ,state,Hatay,Mediterranean,2000,1992
NİĞDE ÜNİVERSİTESİ,state,Niğde,Central Anatolia,2000,1992
OKAN ÜNİVERSİTESİ,foundation,İstanbul,Marmara,2000,1999
ONDOKUZ MAYIS ÜNİVERSİTESİ,state,Samsun,Black Sea,2000,1975
ORTA DOĞU TEKNİK ÜNİVERSİTESİ,state,Ankara,Central Anatolia,2000,1956
OSMANGAZİ ÜNİVERSİTESİ,state,Eskişehir,Central Anatolia,2000,1993
PAMUKKALE ÜNİVERSİTESİ,state,Denizli,Aegean,2000,1992
SABANCI ÜNİVERSİTESİ,foundation,İstanbul,Marmara,2000,1996
SAKARYA ÜNİVERSİTESİ,state,Sakarya,Marmara,2000,1992
SELÇUK ÜNİVERSİTESİ,state,Konya,Central Anatolia,2000,1975
SÜLEYMAN DEMİREL ÜNİVERSİTESİ,state,Isparta,Mediterranean,2000,1992
TRAKYA ÜNİVERSİTESİ,state,Edirne,Marmara,2000,1982
UFUK ÜNİVERSİTESİ,foundation,Ankara,Central Anatolia,2000,1999
ULUDAĞ ÜNİVERSİTESİ,state,Bursa,Marmara,2000,1975
YEDİTEPE ÜNİVERSİTESİ,foundation,İstanbul,Marmara,2000,1996
YILDIZ TEKNİK ÜNİVERSİTESİ,state,İstanbul,Marmara,2000,1982
YÜZÜNCÜ YIL ÜNİVERSİTESİ,state,Van,East Anatolia,2000,1982
ABANT İZZET BAYSAL ÜNİVERSİTESİ,state,Bolu,Black Sea,1999,1992
ADNAN MENDERES ÜNİVERSİTESİ,state,Aydın,Aegean,1999,1992
AFYON KOCATEPE ÜNİVERSİTESİ,state,Afyonkarahisar,Aegean,1999,1992
AKDENİZ ÜNİVERSİTESİ,state,Antalya,Mediterranean,1999,1982
ANADOLU ÜNİVERSİTESİ,state,Eskişehir,Central Anatolia,1999,1973
ANKARA ÜNİVERSİTESİ,state,Ankara,Central Anatolia,1999,1946
ATATÜRK ÜNİVERSİTESİ,state,Erzurum,East Anatolia,1999,1957
ATILIM ÜNİVERSİTESİ,foundation,Ankara,Central Anatolia,1999,1997
BAHÇEŞEHİR ÜNİVERSİTESİ,foundation,İstanbul,Marmara,1999,1998
BALIKESİR ÜNİVERSİTESİ,state,Balıkesir,Marmara,1999,1992
BAŞKENT ÜNİVERSİTESİ,foundation,Ankara,Central Anatolia,1999,1994
BEYKENT ÜNİVERSİTESİ,foundation,İstanbul,Marmara,1999,1997
BİLKENT ÜNİVERSİTESİ,foundation,Ankara,Central Anatolia,1999,1985
BOĞAZİÇİ ÜNİVERSİTESİ,state,İstanbul,Marmara,1999,1971
BÜLENT ECEVİT ÜNİVERSİTESİ,state,Zonguldak,Black Sea,1999,1992
CELÂL BAYAR ÜNİVERSİTESİ,state,Manisa,Aegean,1999,1992
CUMHURİYET ÜNİVERSİTESİ,state,Sivas,Central Anatolia,1999,1974
ÇAĞ ÜNİVERSİTESİ,foundation,Mersin,Mediterranean,1999,1997
ÇANAKKALE ONSEKİZ MART ÜNİVERSİTESİ,state,Çanakkale,Marmara,1999,1992
ÇANKAYA ÜNİVERSİTESİ,foundation,Ankara,Central Anatolia,1999,1997
ÇUKUROVA ÜNİVERSİTESİ,state,Adana,Mediterranean,1999,1973
DİCLE ÜNİVERSİTESİ,state,Diyarbakır,Southeastern Anatolia,1999,1973
DOĞUŞ ÜNİVERSİTESİ,foundation,İstanbul,Marmara,1999,1997
DOKUZ EYLÜL ÜNİVERSİTESİ,state,İzmir,Aegean,1999,1982
DUMLUPINAR ÜNİVERSİTESİ,state,Kütahya,Aegean,1999,1992
EGE ÜNİVERSİTESİ,state,İzmir,Aegean,1999,1955
ERCİYES ÜNİVERSİTESİ,state,Kayseri,Central Anatolia,1999,1982
FATİH ÜNİVERSİTESİ,foundation,İstanbul,Marmara,1999,1996
FIRAT ÜNİVERSİTESİ,state,Elazığ,East Anatolia,1999,1975
GALATASARAY ÜNİVERSİTESİ,state,İstanbul,Marmara,1999,1994
GAZİ ÜNİVERSİTESİ,state,Ankara,Central Anatolia,1999,1982
GAZİANTEP ÜNİVERSİTESİ,state,Gaziantep,Southeastern Anatolia,1999,1987
GAZİOSMANPAŞA ÜNİVERSİTESİ,state,Tokat,Black Sea,1999,1992
GEBZE YÜKSEK TEKNOLOJİ ENSTİTÜSÜ,state,Kocaeli,Marmara,1999,1992
HACETTEPE ÜNİVERSİTESİ,state,Ankara,Central Anatolia,1999,1967
HALİÇ ÜNİVERSİTESİ,foundation,İstanbul,Marmara,1999,1998
HARRAN ÜNİVERSİTESİ,state,Şanlıurfa,Southeastern Anatolia,1999,1992
IŞIK ÜNİVERSİTESİ,foundation,İstanbul,Marmara,1999,1996
İNÖNÜ ÜNİVERSİTESİ,state,Malatya,East Anatolia,1999,1975
İSTANBUL BİLGİ ÜNİVERSİTESİ,foundation,İstanbul,Marmara,1999,1996
İSTANBUL KÜLTÜR ÜNİVERSİTESİ,foundation,İstanbul,Marmara,1999,1997
İSTANBUL TEKNİK ÜNİVERSİTESİ,state,İstanbul,Marmara,1999,1944
İSTANBUL ÜNİVERSİTESİ,state,İstanbul,Marmara,1999,1933
İZMİR YÜKSEK TEKNOLOJİ ENSTİTÜSÜ,state,İzmir,Aegean,1999,1992
KADİR HAS ÜNİVERSİTESİ,foundation,İstanbul,Marmara,1999,1997
KAFKAS ÜNİVERSİTESİ,state,Kars,East Anatolia,1999,1992
